Threads,std,std_std,tbb,tbb_std,lb,lb_std,lf,lf_std
1,0,0,0,0,0,0,0,0
20,92.8,6.14003,49.6,8.01873,71.2,0.447214,40.8,1.92354
40,181.2,5.84808,99.8,3.42053,146,1.22474,92.8,0.44724
60,272.8,0.8366,154.4,2.30217,221.8,2.38747,143.8,1.09545
80,362,2.73861,223,14.4222,336.2,5.26308,194.6,2.60768
100,441.6,2.88097,286.4,39.5386,392.4,3.78153,248,1.22474
120,529.2,0.83666,367.2,39.4994,447,2.34521,299.8,1.09545
140,612.2,2.48998,434,66.8805,505.2,41.2759,298.8,0.83666
160,762.6,3.64692,558.4,54.0953,624.2,2.77489,334,0.707107
180,891,0.707107,550.4,45.1807,650.8,1.30384,457,0
200,870.6,2.88097,604.8,11.9038,704.8,1.92354,507,0.707107
220,948.6,2.88097,673.6,31.1336,798.2,2.28035,558,0.707107
240,1154.8,2.16795,753.8,74.4258,929,2.54951,611.4,0.894427
