Threads,std,std_std,tbb,tbb_std,lb,lb_std,lf,lf_std
1,0,0,0,0,2,0,2,0
20,53.8,0.447214,25,3.937,164.8,4.65833,98.2,0.447214
40,109,0,65,11.0454,368.2,4.5973,191.6,1.34164
60,157.4,0.547723,148.2,35.344,633.4,4.27785,283.2,1.30384
80,221.6,1.51658,222.6,50.2273,929,11.8743,372.4,1.51658
100,252.2,1.64317,256,57.28,1254.2,13.4052,473,2
120,307.8,1.48324,363.4,53.5005,1591.2,7.29383,566.2,0.83666
140,356.6,1.94936,347.6,63.9711,1926.8,12.498,655.8,1.92354
160,420.2,0.83666,421.8,75.0513,2307.6,20.8758,753.8,0.83666
180,440.6,3.28634,605,103.095,2706.6,46.3552,851.2,4.91935
200,489,4.1833,612.2,160.769,3079.6,45.374,947,6.04152
220,528.4,2.50998,653.8,158.46,3607,13.6931,1055,6.5192
240,624.6,3.78153,738.6,161.435,3867.8,34.9242,1132.4,0.547723
